# Copyright (C) 1991-2012 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 12.1 Build 177 11/07/2012 SJ Web Edition
# File: C:\Users\revoh\Dropbox (Personal)\My Domain\CPU_VHDL_FPGA_ALTERA  381-1-0107\CPU Course ECE\LABs\Material_3 - MIPS\LAB3 Seminar and Exercises\ex4 - MIPS Architecture (ModelSim & Quartus)\MIPS Quartus\Test.csv
# Generated on: Tue Aug 11 18:17:31 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
altera_reserved_tck,Input,,,,PIN_K2,,,,
altera_reserved_tdi,Input,,,,PIN_K5,,,,
altera_reserved_tdo,Output,,,,PIN_L5,,,,
altera_reserved_tms,Input,,,,PIN_K6,,,,
ALU_result_out[31],Output,,,,PIN_AA12,,,,
ALU_result_out[30],Output,,,,PIN_T15,,,,
ALU_result_out[29],Output,,,,PIN_T12,,,,
ALU_result_out[28],Output,,,,PIN_AB17,,,,
ALU_result_out[27],Output,,,,PIN_Y13,,,,
ALU_result_out[26],Output,,,,PIN_V14,,,,
ALU_result_out[25],Output,,,,PIN_W15,,,,
ALU_result_out[24],Output,,,,PIN_A14,,,,
ALU_result_out[23],Output,,,,PIN_G17,,,,
ALU_result_out[22],Output,,,,PIN_A8,,,,
ALU_result_out[21],Output,,,,PIN_M5,,,,
ALU_result_out[20],Output,,,,PIN_R21,,,,
ALU_result_out[19],Output,,,,PIN_P18,,,,
ALU_result_out[18],Output,,,,PIN_T21,,,,
ALU_result_out[17],Output,,,,PIN_AA10,,,,
ALU_result_out[16],Output,,,,PIN_N15,,,,
ALU_result_out[15],Output,,,,PIN_D16,,,,
ALU_result_out[14],Output,,,,PIN_T22,,,,
ALU_result_out[13],Output,,,,PIN_N21,,,,
ALU_result_out[12],Output,,,,PIN_R20,,,,
ALU_result_out[11],Output,,,,PIN_P2,,,,
ALU_result_out[10],Output,,,,PIN_K21,,,,
ALU_result_out[9],Output,,,,PIN_R11,,,,
